Date,Open,High,Low,Close,Volume
2024-08-09,442.58939540070884,447.8599753277891,441.4698892252678,446.2253112792969,33574000
2024-08-12,447.19616554453364,450.1484591172227,444.3825252809175,447.1862487792969,27795000
2024-08-13,451.58499310604867,458.54967631273865,451.4462793308009,458.28216552734375,40084500
2024-08-14,459.2035073738891,460.788617480026,454.14096900274984,458.4307556152344,34733700
2024-08-15,464.4047901058715,470.4084846096922,464.02831582443696,470.01220703125,38280600
2024-08-16,468.2289340511398,471.9837300381218,467.2679450064729,470.6165466308594,38383600
2024-08-19,470.75522206656456,476.838159775864,468.9719276760101,476.79852294921875,23737700
2024-08-20,475.8871033026028,478.4530361414534,474.1038088531109,475.7979431152344,29209300
2024-08-21,476.58051928225035,479.86968019015586,474.8666121809787,478.0170593261719,25658800
2024-08-22,480.33537571180096,481.0288841455253,469.4078560191765,470.4382019042969,37739600
2024-08-23,474.78736521575286,478.25484666996635,470.864166093088,475.5403137207031,36061500
2024-08-26,474.99550579444735,475.9168580317419,468.8431803115089,470.9236755371094,27452600
2024-08-27,469.2889906947145,473.4004273664464,467.3273758146257,472.3304748535156,27510000
2024-08-28,471.8648389451947,472.588037228048,463.54288867121295,466.9707336425781,37372400
2024-08-29,468.8827928484705,473.4895840302983,465.00911671200544,466.2871398925781,41081500
2024-08-30,470.62644840577417,472.4691527766626,466.1385374963052,471.8450012207031,33466500
2024-09-03,468.8035075692745,468.9322743417684,455.1416220906215,457.5193176269531,44985200
2024-09-04,454.40852713775496,460.1348241601613,453.477258224592,456.3304748535156,32505100
2024-09-05,454.70572529323357,461.0363402813741,453.6852962003829,456.7565002441406,34452400
2024-09-06,456.05310901273066,456.93485462854244,444.0259161994411,444.5212707519531,50624400
2024-09-09,448.8506232910241,451.2283188768992,445.64073576179464,450.23760986328125,32981200
2024-09-10,452.0010610232758,454.9038613489134,448.0283385228492,454.3985900878906,29680300
2024-09-11,455.6369852193334,465.00908400490187,447.0871616105351,464.26605224609375,57843000
2024-09-12,464.29578616525714,469.635722410282,462.51252198450715,468.8233337402344,40067800
2024-09-13,468.0902619297623,472.1026218238149,467.8623879449723,470.9236755371094,29111800
2024-09-16,468.79361628971213,469.4573744200276,465.524288528779,468.8431396484375,22585600
2024-09-17,471.8648545022235,473.1626810286975,466.5942747357859,469.0908508300781,30084400
2024-09-18,470.2895966560615,474.38119962315574,466.4555272479723,467.05987548828125,39909200
2024-09-19,478.1261087929225,481.71250116567927,476.0258103183634,478.869140625,52782500
2024-09-20,478.0071954775703,479.19605842028795,473.8561221774012,477.9576721191406,34577700
2024-09-23,479.13526286945836,480.31586566098304,477.79592026062943,479.22454833984375,24843000
2024-09-24,480.63331712816506,482.4885414439807,476.37722497183194,481.5361328125,25952600
2024-09-25,480.91114919551086,483.93707616737726,480.732578237264,481.9826354980469,26549900
2024-09-26,489.47300978582507,489.80042016717226,481.96279573601043,485.60382080078125,32020200
2024-09-27,486.6255915425775,486.7645002298773,481.7246096663877,482.90521240234375,22851100
2024-09-30,481.942923506745,484.55215452746376,479.10552858521237,484.21484375,30281100
2024-10-01,483.8477701398877,484.14538839099305,473.62910955506385,477.4685363769531,42735400
2024-10-02,476.5657209152366,480.05793653831387,473.9465894744548,478.1431884765625,23744000
2024-10-03,475.95064787695753,480.72265250634194,475.2065719333754,477.7860412597656,25337200
2024-10-04,483.59977268614915,484.02636896280734,478.57974271825753,483.4707946777344,30686600
2024-10-07,481.55604432247213,482.72671654095666,477.0717272577596,478.2920227050781,24975100
2024-10-08,480.8317856664436,486.11967189958807,480.02818609243036,485.43511962890625,28272000
2024-10-09,485.1375160516646,489.83016591016013,484.0958218394654,489.2547302246094,24995000
2024-10-10,486.97288079520195,490.56428230026705,485.6632999428998,488.6991271972656,25750400
2024-10-11,486.86374286155046,490.48493653463544,486.298268176488,489.4630432128906,20644500
2024-10-14,491.8539970558773,494.88982428126036,491.34804603599724,493.5703430175781,26060100
2024-10-15,493.8977476785361,494.5624688319381,484.82002737514097,486.972900390625,34784500
2024-10-16,487.30026609568785,487.8062474023501,483.718795252719,487.03240966796875,22996800
2024-10-17,492.5187281720624,492.5683211220585,487.31019680837863,487.3697204589844,27210700
2024-10-18,490.15753539620334,491.6556179545978,489.40352876657005,490.5643005371094,25335000
2024-10-21,489.35393242594535,492.3104049952959,487.4292536147581,491.5068054199219,30336500
2024-10-22,488.83807375200354,493.5207929965994,488.08406709201313,492.04254150390625,26685800
2024-10-23,489.6912640374047,490.34605451121007,481.2187106828383,484.5025634765625,39346600
2024-10-24,488.2229113611023,489.1058959697234,485.5740180882913,488.4312744140625,22024900
2024-10-25,491.22902181685464,496.32840643950317,490.52460813834386,491.4075927734375,38762100
2024-10-28,494.52276578852906,494.58228943962433,491.189320221086,491.4869384765625,20477800
2024-10-29,491.8044187402905,497.38995346166206,489.94919430030234,496.2093505859375,28014100
2024-10-30,495.44549370075856,496.39790249240116,491.97313907393766,492.4592590332031,29756000
2024-10-31,488.4908207354854,488.5404136876197,479.92898206139125,480.0281982421875,41245200
2024-11-01,481.66520770648526,486.8737398186563,481.36758941068774,483.5799560546875,33655800
2024-11-04,482.9747116073583,485.5144882475446,480.42500426672166,482.1711120605469,23291600
2024-11-05,483.7584717889176,488.986864708101,483.66918631037436,488.3221435546875,24353600
2024-11-06,496.6062103649232,502.4100088623021,495.6538016210877,501.5865478515625,43082200
2024-11-07,504.3842278003702,510.26741073728783,504.3247041524069,509.4836120605469,32853100
2024-11-08,508.9876317248382,510.8527870225075,508.36260305843524,510.0789794921875,22924500
2024-11-11,511.2992556117253,511.5076186893174,506.8844228762925,509.7813720703125,24167500
2024-11-12,509.7118651333431,510.5947892022127,505.80295361288677,508.8586120605469,25835300
